label,label_index,sample_index,path,reason
B,1,111,DTASET A-Z/B/111.jpg,insufficient_hands_detected:1
B,1,112,DTASET A-Z/B/112.jpg,insufficient_hands_detected:1
B,1,116,DTASET A-Z/B/116.jpg,insufficient_hands_detected:1
B,1,117,DTASET A-Z/B/117.jpg,insufficient_hands_detected:1
B,1,118,DTASET A-Z/B/118.jpg,insufficient_hands_detected:1
B,1,119,DTASET A-Z/B/119.jpg,insufficient_hands_detected:1
B,1,120,DTASET A-Z/B/120.jpg,insufficient_hands_detected:1
B,1,121,DTASET A-Z/B/121.jpg,insufficient_hands_detected:1
B,1,122,DTASET A-Z/B/122.jpg,insufficient_hands_detected:1
B,1,123,DTASET A-Z/B/123.jpg,insufficient_hands_detected:1
B,1,124,DTASET A-Z/B/124.jpg,insufficient_hands_detected:1
B,1,125,DTASET A-Z/B/125.jpg,insufficient_hands_detected:1
B,1,126,DTASET A-Z/B/126.jpg,insufficient_hands_detected:1
B,1,127,DTASET A-Z/B/127.jpg,insufficient_hands_detected:1
B,1,128,DTASET A-Z/B/128.jpg,insufficient_hands_detected:1
B,1,129,DTASET A-Z/B/129.jpg,insufficient_hands_detected:1
B,1,130,DTASET A-Z/B/130.jpg,insufficient_hands_detected:1
B,1,131,DTASET A-Z/B/131.jpg,insufficient_hands_detected:1
B,1,132,DTASET A-Z/B/132.jpg,insufficient_hands_detected:1
B,1,133,DTASET A-Z/B/133.jpg,insufficient_hands_detected:1
B,1,134,DTASET A-Z/B/134.jpg,insufficient_hands_detected:1
B,1,135,DTASET A-Z/B/135.jpg,insufficient_hands_detected:1
B,1,136,DTASET A-Z/B/136.jpg,insufficient_hands_detected:1
B,1,137,DTASET A-Z/B/137.jpg,insufficient_hands_detected:1
B,1,138,DTASET A-Z/B/138.jpg,insufficient_hands_detected:1
B,1,140,DTASET A-Z/B/140.jpg,insufficient_hands_detected:1
B,1,141,DTASET A-Z/B/141.jpg,insufficient_hands_detected:1
B,1,142,DTASET A-Z/B/142.jpg,insufficient_hands_detected:1
B,1,143,DTASET A-Z/B/143.jpg,insufficient_hands_detected:1
B,1,144,DTASET A-Z/B/144.jpg,insufficient_hands_detected:1
B,1,145,DTASET A-Z/B/145.jpg,insufficient_hands_detected:1
B,1,146,DTASET A-Z/B/146.jpg,insufficient_hands_detected:1
B,1,148,DTASET A-Z/B/148.jpg,insufficient_hands_detected:1
B,1,157,DTASET A-Z/B/157.jpg,insufficient_hands_detected:1
B,1,158,DTASET A-Z/B/158.jpg,insufficient_hands_detected:1
B,1,159,DTASET A-Z/B/159.jpg,insufficient_hands_detected:1
B,1,160,DTASET A-Z/B/160.jpg,insufficient_hands_detected:1
