label,label_index,sample_index,path
A,0,0,DTASET A-Z/A/0.jpg
A,0,1,DTASET A-Z/A/1.jpg
A,0,2,DTASET A-Z/A/2.jpg
A,0,3,DTASET A-Z/A/3.jpg
A,0,4,DTASET A-Z/A/4.jpg
A,0,5,DTASET A-Z/A/5.jpg
A,0,6,DTASET A-Z/A/6.jpg
A,0,7,DTASET A-Z/A/7.jpg
A,0,8,DTASET A-Z/A/8.jpg
A,0,9,DTASET A-Z/A/9.jpg
A,0,10,DTASET A-Z/A/10.jpg
A,0,11,DTASET A-Z/A/11.jpg
A,0,12,DTASET A-Z/A/12.jpg
A,0,13,DTASET A-Z/A/13.jpg
A,0,14,DTASET A-Z/A/14.jpg
A,0,15,DTASET A-Z/A/15.jpg
A,0,16,DTASET A-Z/A/16.jpg
A,0,17,DTASET A-Z/A/17.jpg
A,0,18,DTASET A-Z/A/18.jpg
A,0,19,DTASET A-Z/A/19.jpg
A,0,20,DTASET A-Z/A/20.jpg
A,0,21,DTASET A-Z/A/21.jpg
A,0,22,DTASET A-Z/A/22.jpg
A,0,23,DTASET A-Z/A/23.jpg
A,0,24,DTASET A-Z/A/24.jpg
A,0,25,DTASET A-Z/A/25.jpg
A,0,26,DTASET A-Z/A/26.jpg
A,0,27,DTASET A-Z/A/27.jpg
A,0,28,DTASET A-Z/A/28.jpg
A,0,29,DTASET A-Z/A/29.jpg
A,0,30,DTASET A-Z/A/30.jpg
A,0,31,DTASET A-Z/A/31.jpg
A,0,32,DTASET A-Z/A/32.jpg
A,0,33,DTASET A-Z/A/33.jpg
A,0,34,DTASET A-Z/A/34.jpg
A,0,35,DTASET A-Z/A/35.jpg
A,0,36,DTASET A-Z/A/36.jpg
A,0,37,DTASET A-Z/A/37.jpg
A,0,38,DTASET A-Z/A/38.jpg
A,0,39,DTASET A-Z/A/39.jpg
A,0,40,DTASET A-Z/A/40.jpg
A,0,41,DTASET A-Z/A/41.jpg
A,0,42,DTASET A-Z/A/42.jpg
A,0,43,DTASET A-Z/A/43.jpg
A,0,44,DTASET A-Z/A/44.jpg
