label,label_index,sample_index,path,reason
Q,16,0,continuation dataset/Q/0.jpg,insufficient_hands_detected:0
Q,16,1,continuation dataset/Q/1.jpg,insufficient_hands_detected:0
Q,16,2,continuation dataset/Q/2.jpg,insufficient_hands_detected:0
Q,16,3,continuation dataset/Q/3.jpg,insufficient_hands_detected:0
Q,16,4,continuation dataset/Q/4.jpg,insufficient_hands_detected:0
Q,16,5,continuation dataset/Q/5.jpg,insufficient_hands_detected:0
Q,16,6,continuation dataset/Q/6.jpg,insufficient_hands_detected:0
Q,16,7,continuation dataset/Q/7.jpg,insufficient_hands_detected:0
Q,16,8,continuation dataset/Q/8.jpg,insufficient_hands_detected:0
Q,16,9,continuation dataset/Q/9.jpg,insufficient_hands_detected:0
Q,16,10,continuation dataset/Q/10.jpg,insufficient_hands_detected:0
Q,16,11,continuation dataset/Q/11.jpg,insufficient_hands_detected:0
Q,16,12,continuation dataset/Q/12.jpg,insufficient_hands_detected:0
Q,16,13,continuation dataset/Q/13.jpg,insufficient_hands_detected:0
Q,16,14,continuation dataset/Q/14.jpg,insufficient_hands_detected:0
Q,16,15,continuation dataset/Q/15.jpg,insufficient_hands_detected:0
Q,16,16,continuation dataset/Q/16.jpg,insufficient_hands_detected:0
Q,16,17,continuation dataset/Q/17.jpg,insufficient_hands_detected:0
Q,16,18,continuation dataset/Q/18.jpg,insufficient_hands_detected:0
Q,16,19,continuation dataset/Q/19.jpg,insufficient_hands_detected:0
Q,16,20,continuation dataset/Q/20.jpg,insufficient_hands_detected:0
Q,16,21,continuation dataset/Q/21.jpg,insufficient_hands_detected:0
Q,16,22,continuation dataset/Q/22.jpg,insufficient_hands_detected:0
Q,16,23,continuation dataset/Q/23.jpg,insufficient_hands_detected:0
Q,16,24,continuation dataset/Q/24.jpg,insufficient_hands_detected:0
Q,16,25,continuation dataset/Q/25.jpg,insufficient_hands_detected:0
Q,16,26,continuation dataset/Q/26.jpg,insufficient_hands_detected:0
Q,16,27,continuation dataset/Q/27.jpg,insufficient_hands_detected:0
Q,16,28,continuation dataset/Q/28.jpg,insufficient_hands_detected:0
Q,16,29,continuation dataset/Q/29.jpg,insufficient_hands_detected:0
Q,16,30,continuation dataset/Q/30.jpg,insufficient_hands_detected:0
Q,16,31,continuation dataset/Q/31.jpg,insufficient_hands_detected:0
Q,16,32,continuation dataset/Q/32.jpg,insufficient_hands_detected:0
Q,16,33,continuation dataset/Q/33.jpg,insufficient_hands_detected:0
Q,16,34,continuation dataset/Q/34.jpg,insufficient_hands_detected:0
Q,16,35,continuation dataset/Q/35.jpg,insufficient_hands_detected:0
Q,16,36,continuation dataset/Q/36.jpg,insufficient_hands_detected:0
